fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x2b01795759a95b2141f5931cd5550669406d6bc695ca000116036cce59b93a70,0x740d5718a79A8559fEeE8B00922F8Cd773A81D84,,7.27,1.0875,Asian Handicap (1.5),,Allsvenskan,IF Elfsborg vs VasterAs SK FK,IF Elfsborg,VasterAs SK FK,0xdef93d43f5d405ee3de383f90077092c7df647272abe865f510c021b54a5efb7,L19724188,0,0,SUCCESS,1,1786621789,1786726800,83.085714,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x7a0cf2a0dd253b624e549b0a30b719cf03736ff6dc251400d8b57ae1bb17e99e,0x740d5718a79A8559fEeE8B00922F8Cd773A81D84,1,8.83993,1.9225,Asian Handicap (1.5),IF Elfsborg +1.5,Allsvenskan,IF Elfsborg vs VasterAs SK FK,IF Elfsborg,VasterAs SK FK,0xdef93d43f5d405ee3de383f90077092c7df647272abe865f510c021b54a5efb7,L19724188,0,0,SUCCESS,1,1786621704,1786726800,9.58258,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xf6c0dbeec1ae66e445bffd45db64c96e7600fd50d1dc1e46275e8c1e5e3ffcca,0x97EC1C9682F70091efB04e97b0B34698cF815EE1,,5.72,1.4737,1X2,,Allsvenskan,IF Elfsborg vs VasterAs SK FK,IF Elfsborg,VasterAs SK FK,0x0a0153e32918534b0a22f4e7b132e09421d6cd69ab912cf1ed31813a9d40362b,L19724188,0,0,SUCCESS,1,1786609356,1786726800,12.073879,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xc2816827415c2ec793c969212456eb7e3c67f4edd7f537172908dc8ae878e68c,0x740d5718a79A8559fEeE8B00922F8Cd773A81D84,1,1.00995,1.9312,Asian Handicap (1.5),IF Elfsborg +1.5,Allsvenskan,IF Elfsborg vs VasterAs SK FK,IF Elfsborg,VasterAs SK FK,0xdef93d43f5d405ee3de383f90077092c7df647272abe865f510c021b54a5efb7,L19724188,0,0,SUCCESS,1,1786595298,1786726800,1.08451,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x488d9fa99166815591b95f48db9983fdbd98198d6c8e1af509fdee66599730f5,0x740d5718a79A8559fEeE8B00922F8Cd773A81D84,1,24.50996,1.9312,Asian Handicap (1.5),IF Elfsborg +1.5,Allsvenskan,IF Elfsborg vs VasterAs SK FK,IF Elfsborg,VasterAs SK FK,0xdef93d43f5d405ee3de383f90077092c7df647272abe865f510c021b54a5efb7,L19724188,0,0,SUCCESS,1,1786595298,1786726800,26.31942,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x3a2507792e9fbdf7e5e79a3c544d195838507de136a83729113f395ba9a42f51,0x740d5718a79A8559fEeE8B00922F8Cd773A81D84,,1.16,1.0888,Asian Handicap (1.5),,Allsvenskan,IF Elfsborg vs VasterAs SK FK,IF Elfsborg,VasterAs SK FK,0xdef93d43f5d405ee3de383f90077092c7df647272abe865f510c021b54a5efb7,L19724188,0,0,SUCCESS,1,1786595297,1786726800,13.070423,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x6e9487dfb91a597939f4fbdd8179f38a5b4f250b7a6b33286bb906268a6f5cdf,0x10981f03BdA67342B272036571ca008fd53aF4Df,1,5.68,1.5362,1X2,IF Elfsborg,Allsvenskan,IF Elfsborg vs VasterAs SK FK,IF Elfsborg,VasterAs SK FK,0x0a0153e32918534b0a22f4e7b132e09421d6cd69ab912cf1ed31813a9d40362b,L19724188,0,0,SUCCESS,1,1786559880,1786726800,10.592075,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xaa96ffb1d06500dbc6c3ede871de4021d283950813a0f0985de872e873315e9a,0x571982D7baadbDc5cE4d649BA8a45fBA04a331f3,,1.08,1.485,1X2,,Allsvenskan,IF Elfsborg vs VasterAs SK FK,IF Elfsborg,VasterAs SK FK,0x0a0153e32918534b0a22f4e7b132e09421d6cd69ab912cf1ed31813a9d40362b,L19724188,0,0,SUCCESS,1,1786552303,1786726800,2.226804,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x67fbe59c0e6863db7c47475c1b23574a1882c43d6925f855cc8b798838870952,0x571982D7baadbDc5cE4d649BA8a45fBA04a331f3,1,3.91,1.2388,1X2,VasterAs SK FK,Allsvenskan,IF Elfsborg vs VasterAs SK FK,IF Elfsborg,VasterAs SK FK,0xde0a0bcbe2344cd856b4495b69b464fc240c979930861f2338f71bd33909fea7,L19724188,0,0,SUCCESS,1,1786552227,1786726800,16.376963,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x7d6e6e331828f3bc4c6756df5ee2518abda4777a4c1722066b8751df41736397,0x97EC1C9682F70091efB04e97b0B34698cF815EE1,1,118.3,1.535,1X2,IF Elfsborg,Allsvenskan,IF Elfsborg vs VasterAs SK FK,IF Elfsborg,VasterAs SK FK,0x0a0153e32918534b0a22f4e7b132e09421d6cd69ab912cf1ed31813a9d40362b,L19724188,0,0,SUCCESS,1,1786445740,1786726800,221.121495,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
