fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x4aff3ba015f4d5f826957b8c1b48f7d832e99fb9b0c94c3d13a7c942c249b64b,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,10.83,1.18,Asian Handicap (-3.5),Fylkir -3.5,Besta Deild Karla,Fylkir vs Völsungur,Fylkir,Völsungur,0x0876c4a6828dc69b9f0c780112f629d94e837b63718d4e072cedf6261ca2f05a,L19558540,0,0,SUCCESS,1,1785344451,1785348000,60.166667,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xe32c51ac474d570481983f944ea2eeaa72b52cbf5e4dbaa5b7b34e7099ab3f14,0xF544c218C0Ba0BAfD9Dd049E469097AE58B235c2,1,16.20769,1.35,Asian Handicap (-2.5),Fylkir -2.5,Besta Deild Karla,Fylkir vs Völsungur,Fylkir,Völsungur,0xbd9f66ad57237507cf428f594d6d114c399e0464940c27c4aef80ac029bf8ca1,L19558540,0,0,SUCCESS,1,1785344449,1785348000,46.307686,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x1144bece84353bf243f2e74e1f34ad40a046d345e525c8813541f4a2b77b671c,0xF544c218C0Ba0BAfD9Dd049E469097AE58B235c2,,29.11596,1.6288,Asian Handicap (-2.5),,Besta Deild Karla,Fylkir vs Völsungur,Fylkir,Völsungur,0xbd9f66ad57237507cf428f594d6d114c399e0464940c27c4aef80ac029bf8ca1,L19558540,0,0,SUCCESS,1,1785344448,1785348000,46.30769,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x073c2c43c3ca748be54a92e0b26c5f28d90130614d20b6c01151e85eae169565,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,26.70877,1.4438,Asian Handicap (-2),Fylkir -2,Besta Deild Karla,Fylkir vs Völsungur,Fylkir,Völsungur,0xdc8c5652ca6e8a5736c2dba125c81d59df51a53d9c5a64b5cda8753a2447f188,L19558540,0,0,SUCCESS,1,1785344446,1785348000,60.188777,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xaccc10d9ffefd8df8ae527da66cf5c9275b95d79e56b9fc76725ecb38cfec32b,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,34.91,1.58,Under/Over (3.5),Over 3.5,Besta Deild Karla,Fylkir vs Völsungur,Fylkir,Völsungur,0x08fef34a300df073b931f351c111431efac4a9e2f9c05088229f6332fa8a17d9,L19558540,0,0,SUCCESS,1,1785344436,1785348000,60.189655,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x7308736f412c4e30d6aaf4dd32d85a406da0e5d36beb2eabf31b9a22cb035612,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,26.70877,1.4438,Asian Handicap (-2),Fylkir -2,Besta Deild Karla,Fylkir vs Völsungur,Fylkir,Völsungur,0xdc8c5652ca6e8a5736c2dba125c81d59df51a53d9c5a64b5cda8753a2447f188,L19558540,0,0,SUCCESS,1,1785344422,1785348000,60.188777,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xdc3283ad1a88e9f4c26f9b4b71da1b70924a2957a38ab8f28bd7d6fb9d216e2f,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,10.83,1.18,Asian Handicap (-3.5),Fylkir -3.5,Besta Deild Karla,Fylkir vs Völsungur,Fylkir,Völsungur,0x0876c4a6828dc69b9f0c780112f629d94e837b63718d4e072cedf6261ca2f05a,L19558540,0,0,SUCCESS,1,1785344421,1785348000,60.166667,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x5902ea166c43507387debc5d8cc0c78b2b040e041aa4bfdb4c1f314b057281c0,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,1.53,1.3413,1X2,Leiknir Reykjavik,Besta Deild Karla,Grindavík vs Leiknir Reykjavik,Grindavík,Leiknir Reykjavik,0xa483946547c248863e7e21964d2b27f06ba27a90ee1332f03f91f58c894d0ab5,L19558553,0,0,SUCCESS,1,1785341700,1785352500,4.483516,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x887bb80242ed960eae29e242a4f7d68771cc24a52fed088c888075011aae89e0,0x7798905FEB7e16ae299D9F0Ab8B294084EF92B58,,222,1.4563,Besta Deild Karla,,Besta Deild Karla,Throttur Reykjavik vs Afturelding Mosfellsbaer,Throttur Reykjavik,Afturelding Mosfellsbaer,0x202e2e81d1f89091b83b5bf504582d86de63fcfdd756f909ca3c6652d05ab86b,L19558554,0,0,SUCCESS,1,1785336076,1785354300,486.575342,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xa5e461e0e59c6692085244a79f12890d3da3ddd6439b27fe7e25296bce8ceb41,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,1,1.6038,1X2,,Besta Deild Karla,Grindavík vs Leiknir Reykjavik,Grindavík,Leiknir Reykjavik,0x427fabecbeb366a3e6cbf9174f760d871895bdec8cc17aacb1fd7361a10e941f,L19558553,0,0,SUCCESS,1,1785334472,1785352500,1.656315,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x6f04b22e07213877efece2d24c48f3e3c0f065f4eec720e46a34767048b8ad86,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,1,1.6038,1X2,,Besta Deild Karla,Grindavík vs Leiknir Reykjavik,Grindavík,Leiknir Reykjavik,0x427fabecbeb366a3e6cbf9174f760d871895bdec8cc17aacb1fd7361a10e941f,L19558553,0,0,SUCCESS,1,1785334472,1785352500,1.656315,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xfe60d77c0d3ef99237512c490ee18191f5aa1d03dba2cab20d7b2fa662d9b510,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,23.75,1.6038,1X2,,Besta Deild Karla,Grindavík vs Leiknir Reykjavik,Grindavík,Leiknir Reykjavik,0x427fabecbeb366a3e6cbf9174f760d871895bdec8cc17aacb1fd7361a10e941f,L19558553,0,0,SUCCESS,1,1785332741,1785352500,39.337474,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x7e66e5957e42e9d807368dba7d310ae682077aa4a708c192602142d5b5e26d3a,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,1.87,1.27,1X2,Tie,Besta Deild Karla,Grindavík vs Leiknir Reykjavik,Grindavík,Leiknir Reykjavik,0x4b9c3737e2afb486edaff0ed23cce8d71af9bbfcd593a790243e5fc471ec6133,L19558553,0,0,SUCCESS,1,1785332569,1785352500,6.925926,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xabdf52be75bd88bbdb225f283ab005e92ead50197a48d25f9b85f7e3b10624be,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,1,1.27,1X2,Tie,Besta Deild Karla,Grindavík vs Leiknir Reykjavik,Grindavík,Leiknir Reykjavik,0x4b9c3737e2afb486edaff0ed23cce8d71af9bbfcd593a790243e5fc471ec6133,L19558553,0,0,SUCCESS,1,1785332568,1785352500,3.703704,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
