fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x678a2d743e46f1edb78f1d014cd1b78056f6f1b7cd33aa0b4bafa8628bf56fad,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,7.62,1.3862,1X2,,Coppa Italia,Cagliari vs Arezzo,Cagliari,Arezzo,0xc12f4fc9530a4fe400c154e17d18be595fceee4aca27c25b3725a6ad05399293,L19763845,0,0,SUCCESS,1,1786712515,1786725000,19.728155,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xf0b92f22e52ceb6943414b9035ee8025c11178c8c063a94b22490ee31161a177,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,2.25,1.5337,Under/Over (2.5),Over 2.5,Coppa Italia,Parma vs Catania,Parma,Catania,0x4ab7e6704e099c5b8cb31400971c543504aa4fe29ee7c58a59484e491c7ae964,L19763846,0,0,SUCCESS,1,1786711935,1786723200,4.215457,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x54f237bc829b00b8dd416caabdc699db5c553e3fe819cc8ad0121af44e8dd6dd,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,3.32975,1.2688,Asian Handicap (-1),,Coppa Italia,Fiorentina vs Benevento Calcio,Fiorentina,Benevento Calcio,0xf576a849391b8d18431b3c8540ae3d05357a4145ff3a3e3512a463dfdb02de12,L19755776,0,0,SUCCESS,1,1786710601,1786734900,12.389767,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x7bb2336b355cecc477d085db76bf87ceb2f054fdb2418a704f77fd2f4539bac6,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,10.24,1.525,Under/Over (3),,Coppa Italia,Fiorentina vs Benevento Calcio,Fiorentina,Benevento Calcio,0x09c702a3b8da30324ce6a081b1159fbd6150bfc95be5d14cf4c9490b5e921297,L19755776,0,0,SUCCESS,1,1786710600,1786734900,19.504762,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x0d07e0ed295ae343f18a01485158492d6839be5cb13b3eb8741c780e949aad4f,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,9.89,1.2688,Asian Handicap (-1),,Coppa Italia,Fiorentina vs Benevento Calcio,Fiorentina,Benevento Calcio,0xf576a849391b8d18431b3c8540ae3d05357a4145ff3a3e3512a463dfdb02de12,L19755776,0,0,SUCCESS,1,1786710600,1786734900,36.8,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xff6d61d88c1904ea41445959e0974a463649e0966beb096f6495b7930dad0f8c,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,21.69331,1.4412,Asian Handicap (-1.5),,Coppa Italia,Fiorentina vs Benevento Calcio,Fiorentina,Benevento Calcio,0x121e2465a3b07c9832a22193babc9adff09f6410275f67c554df85a60e389421,L19755776,0,0,SUCCESS,1,1786710599,1786734900,49.163309,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xc5ace4775095979f5f45958a77d8c18c1f69e323596c7bba38f43fed4aa03b8c,0x97EC1C9682F70091efB04e97b0B34698cF815EE1,1,30.52,1.33,Under/Over (3.5),Over 3.5,Coppa Italia,Venezia vs Modena,Venezia,Modena,0xeeffc9f95c42848dc4cc3291e21184cda9358f4a15eb00d8aba15617c114cfe9,L19759382,0,0,SUCCESS,1,1786708774,1786819500,92.484848,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xe91ee8891353fc690508d55c8f7bac9e097b0bdc055d98555782eef994ba4033,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,101.95992,1.94,1X2,,Coppa Italia,Fiorentina vs Benevento Calcio,Fiorentina,Benevento Calcio,0x061e9e35de979eb2a7dc24a83417f88c275327ce713feb9c094556d1e260237a,L19755776,0,0,SUCCESS,1,1786707569,1786734900,108.468,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x5d2da5d7ce895573f5b1ae883fff275b98c95c01baf4910d6af55e2f5d496ec9,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,41.07988,1.94,1X2,,Coppa Italia,Fiorentina vs Benevento Calcio,Fiorentina,Benevento Calcio,0x061e9e35de979eb2a7dc24a83417f88c275327ce713feb9c094556d1e260237a,L19755776,0,0,SUCCESS,1,1786706525,1786734900,43.702,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x14241612f77fdcaf8265a39c7637b1e5428dba2e0bb27a137056df80c8536ada,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,333.54,1.8,1X2,Fiorentina,Coppa Italia,Fiorentina vs Benevento Calcio,Fiorentina,Benevento Calcio,0x466e5e0d982ed66aa368c8de6cbe0433d76f7b199a295fb9a3962661d07d8e0c,L19755776,0,0,SUCCESS,1,1786706315,1786734900,416.925,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xe603fbb0c99c3ff96fb3594ad382547e84bcb203e79987adbca6e159803c9336,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,66.94994,1.94,1X2,,Coppa Italia,Fiorentina vs Benevento Calcio,Fiorentina,Benevento Calcio,0x061e9e35de979eb2a7dc24a83417f88c275327ce713feb9c094556d1e260237a,L19755776,0,0,SUCCESS,1,1786706314,1786734900,71.22334,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x290c9779db4cb5c14fd478345fbe7c097f565a2014cb4e7700779d8be83ccde0,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,57.91998,1.94,1X2,,Coppa Italia,Fiorentina vs Benevento Calcio,Fiorentina,Benevento Calcio,0x061e9e35de979eb2a7dc24a83417f88c275327ce713feb9c094556d1e260237a,L19755776,0,0,SUCCESS,1,1786706289,1786734900,61.617,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x07f18dcbb3b30f216bca3b3e837a179dd5bc076475ed76be5aea1eae01c0d21d,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,327,1.8,1X2,Fiorentina,Coppa Italia,Fiorentina vs Benevento Calcio,Fiorentina,Benevento Calcio,0x466e5e0d982ed66aa368c8de6cbe0433d76f7b199a295fb9a3962661d07d8e0c,L19755776,0,0,SUCCESS,1,1786706223,1786734900,408.75,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xcfe0c0e41374554c07e8587fd78da6222a5429e519f16c5fa5ac482da29e9979,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,68.18999,1.705,1X2,Parma,Coppa Italia,Parma vs Catania,Parma,Catania,0x6458dcaf2072c5657d945082e4bdaa8c79d29977b0d67d2d174f11528b66616d,L19763846,0,0,SUCCESS,1,1786705140,1786723200,96.72339,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x913ebfac2c4fa9e75e2135c77e823eae468deec5453276c8ccc705123212a6e4,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,94.66999,1.6987,Under/Over (2),Over 2.0,Coppa Italia,Parma vs Catania,Parma,Catania,0xdbc193cdfd7ba2546c180bf06ff3efa13b3fbc0ebee65bb3832419ff0a8a166c,L19763846,0,0,SUCCESS,1,1786705140,1786723200,135.48478,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x4e67948ba9cd12a15df191161a6c2b34e4b479090203499674b8bf7137b5a988,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,19.11992,1.94,1X2,,Coppa Italia,Fiorentina vs Benevento Calcio,Fiorentina,Benevento Calcio,0x061e9e35de979eb2a7dc24a83417f88c275327ce713feb9c094556d1e260237a,L19755776,0,0,SUCCESS,1,1786705064,1786734900,20.34034,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xb8f4340202cd0821d6f4b32a9860ed0fe0b901aef54a45a77aa2d3a974721d4b,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,120.37995,1.9,1X2,,Coppa Italia,Parma vs Catania,Parma,Catania,0xa7c32b4a50bd6781d53a0dcee2dd68ac2464f1cd900586f6df412ea1f8106010,L19763846,0,0,SUCCESS,1,1786704495,1786723200,133.7555,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xe927e9cbd4d0f744ff4b56783977356b8a51bf0ceb8a6693e360571c7f276457,0x97EC1C9682F70091efB04e97b0B34698cF815EE1,1,41.18,1.16,1X2,Arezzo,Coppa Italia,Cagliari vs Arezzo,Cagliari,Arezzo,0xf6f3f189278f83ae7ce47cd7c686f0bb8c02b18f231ef83b84b40835920a788b,L19763845,0,0,SUCCESS,1,1786704227,1786725000,257.375,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x338ccb6fa0e39575db9ffdb2d6f64e3a4fefcd95f4c26b2e01910dba7ec62951,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,3.28,1.39,1X2,,Coppa Italia,Cagliari vs Arezzo,Cagliari,Arezzo,0xc12f4fc9530a4fe400c154e17d18be595fceee4aca27c25b3725a6ad05399293,L19763845,0,0,SUCCESS,1,1786704178,1786725000,8.410256,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xfbb5174cf174a578ca861554260ae4046fe7471f4203de1e2f8ba4c34c3a9ffb,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,14.45785,1.3037,Asian Handicap (-1.5),AC Monza Brianza -1.5,Coppa Italia,AC Monza Brianza vs Avellino,AC Monza Brianza,Avellino,0xb0ee03c7892dcf7e530c3a9f1248ee34eff4268792ecc8cb08b8d21f4a49aeb3,L19749887,0,0,SUCCESS,1,1786703166,1786733100,47.59786,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xfb152bc7c092ae6a5694cdec88af91641d119134f22b5342be7e96154e72ca36,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,38.75,1.57,1X2,AC Monza Brianza,Coppa Italia,AC Monza Brianza vs Avellino,AC Monza Brianza,Avellino,0x9f09a00bc3b2fc77d18f7629eca8baac71e2a86cd28ec179d39b8a5410ae0216,L19749887,0,0,SUCCESS,1,1786703166,1786733100,67.982456,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
