fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x4f436f2dddd1868a71e300a01110573b4e1d609e23a3e0de49484ed412a3ee8a,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,36.04,1.675,Under/Over (2.5),Over 2.5,Eliteserien,Molde vs Sarpsborg 08,Molde,Sarpsborg 08,0x073846d92d123f45190b7559a699d78fce3c3dcb7b154f29eef7973fa26cffa3,L19535991,0,0,SUCCESS,1,1785606662,1785682800,53.392593,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xa13f9b154447b05430a56619c66983b478580cf19e5bcb3261b384504c2bb065,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,2.15999,1.605,Under/Over (3.5),,Eliteserien,IK Start vs Viking,IK Start,Viking,0x708d12e23cc719d4d3a4472266aed759901b9fa116030b9467126632bc0c1783,L19535993,0,0,SUCCESS,1,1785606035,1785600000,3.570231,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xdf092a840460bbb18c949bcecff363fb6131709742ac9852f7643a6057905165,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,4.17999,1.5913,1X2,Molde,Eliteserien,Molde vs Sarpsborg 08,Molde,Sarpsborg 08,0xbb7feb92bbd03a91c9cec6f2fd9b144e70614205d1329cd1461a1f244d6a6c19,L19535991,0,0,SUCCESS,1,1785606026,1785682800,7.069751,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xeafeab16c557871ad9a37695eb22d19d370613078d01783558e59d0381cdc2f1,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,47.52,1.0713,Under/Over (5),Over 5.0,Eliteserien,IK Start vs Viking,IK Start,Viking,0x4fdebcd4c5fbeadf83c98a9b60eb75257f020c4a13858381b84467051c3b47ed,L19535993,0,0,SUCCESS,1,1785605380,1785600000,666.947368,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xd9c140c0fdcd06ea9e4b274368a1b2519ceae4009ea2b65ea0de4aeeec6da67e,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,39.54,1.06,Under/Over (5.5),Over 5.5,Eliteserien,IK Start vs Viking,IK Start,Viking,0x958556881f6aab4aaede7c1f6640013084c049a9ad77ed12b5b2a0a562da4740,L19535993,0,0,SUCCESS,1,1785605364,1785600000,659.0,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x3d30e6b62a5b666c10bea39a57d934ae99a28109e05731b4c894bcd6db6a37f4,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,66.11,1.12,Under/Over (5.5),Over 5.5,Eliteserien,IK Start vs Viking,IK Start,Viking,0x958556881f6aab4aaede7c1f6640013084c049a9ad77ed12b5b2a0a562da4740,L19535993,0,0,SUCCESS,1,1785604894,1785600000,550.916667,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x53eaadddb53f81997f544e5dedae9e68c78ef1725424612207150cf23076de9a,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,45.63,1.12,Under/Over (5.5),Over 5.5,Eliteserien,IK Start vs Viking,IK Start,Viking,0x958556881f6aab4aaede7c1f6640013084c049a9ad77ed12b5b2a0a562da4740,L19535993,0,0,SUCCESS,1,1785604889,1785600000,380.25,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xd3a906a612b9e369760e2abc908ed4cc7fae2433f3286d8f8d796c5b97a203c5,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,84.19999,1.6513,Under/Over (4.5),,Eliteserien,IK Start vs Viking,IK Start,Viking,0x961d257101033ca306d3f814e65e0727b0de08a84d985bd2005eabade49f6263,L19535993,0,0,SUCCESS,1,1785604870,1785600000,129.289812,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x9f1b8e27da4d94335702694a8d36634a597049ad0c88741c4433c2e3319038cb,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,165.77999,1.6238,Under/Over (4.5),,Eliteserien,IK Start vs Viking,IK Start,Viking,0x961d257101033ca306d3f814e65e0727b0de08a84d985bd2005eabade49f6263,L19535993,0,0,SUCCESS,1,1785604770,1785600000,265.779543,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x895393606e4daf6037acd969afa0457f88970efac6e85e5d26348c11ea293f9a,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,7.20999,1.5238,Under/Over (4.5),,Eliteserien,IK Start vs Viking,IK Start,Viking,0x961d257101033ca306d3f814e65e0727b0de08a84d985bd2005eabade49f6263,L19535993,0,0,SUCCESS,1,1785604440,1785600000,13.766091,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x2b36a43116570ab59932af7a755fa16d09f239eefafffaacf7b6309e76d08371,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,0.1997,1.5362,Under/Over (4.5),,Eliteserien,IK Start vs Viking,IK Start,Viking,0x961d257101033ca306d3f814e65e0727b0de08a84d985bd2005eabade49f6263,L19535993,0,0,SUCCESS,1,1785604270,1785600000,0.372401,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x0953aa33ee47a39f88917ab11ffb757e8b98e24a81bfb1e7248057a044aa824d,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,90.85279,1.4863,Under/Over (4.5),,Eliteserien,IK Start vs Viking,IK Start,Viking,0x961d257101033ca306d3f814e65e0727b0de08a84d985bd2005eabade49f6263,L19535993,0,0,SUCCESS,1,1785604258,1785600000,186.843784,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x27a2d115535226e56392004cb65c90cc522f48c1bc0223d85f8317eaf136759b,0x55a52C34f5c3e2f3E9508E7c9BDDfeBc1098E0a3,,1,1.4213,Asian Handicap (-0.5),,Eliteserien,Molde vs Sarpsborg 08,Molde,Sarpsborg 08,0x1157ab22fa1566c813482b92c40242abe82f530c4e93727c43abb0dcaf03bafd,L19535991,0,0,SUCCESS,1,1785603832,1785682800,2.373887,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
