fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0xae21da45cff95a4eea37a0fc3a99e04d6f27d0f48dc29c4c2f0397e5f7caa33e,0x0DeAbC808957aBc9f4778C03b03CC1D2cBBC9D60,1,5,1.09,1X2,PEC Zwolle,Eredivisie,FC Twente vs PEC Zwolle,FC Twente,PEC Zwolle,0xa813d8123d10fe031af023cc53d31ea18bef3a5bd1eb1a3f4f0e8599e64ea910,L19730053,0,0,SUCCESS,1,1786863032,1786883400,55.555556,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x4fa443312f7cb6425ab66d57a8638c68b941ea826a4e3bc05cdb3a5849546b01,0x0DeAbC808957aBc9f4778C03b03CC1D2cBBC9D60,,5,1.23,1X2,,Eredivisie,FC Twente vs PEC Zwolle,FC Twente,PEC Zwolle,0x900106ae9769427634f0a460c468c56f1760f496b93b1b2ef92e8c7ddc990ede,L19730053,0,0,SUCCESS,1,1786863030,1786883400,21.73913,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xf0d4912a63dd051b313f933d8ad8ae0545f373b223e5247e96da9e9c57107a90,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,31.74403,1.105,Eredivisie,,Eredivisie,FC Twente vs PEC Zwolle,FC Twente,PEC Zwolle,0x94fe6a375fea7c54baa92590fec566ddc1d8fdd63faccafb598ab2205451451a,L19730053,0,0,SUCCESS,1,1786863005,1786883400,302.324095,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xb8fd4596b8bb47206c14619701acd9510655abc0d912ccd0f75a897f34ab6660,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,9.88956,1.09,1X2,PEC Zwolle,Eredivisie,FC Twente vs PEC Zwolle,FC Twente,PEC Zwolle,0xa813d8123d10fe031af023cc53d31ea18bef3a5bd1eb1a3f4f0e8599e64ea910,L19730053,0,0,SUCCESS,1,1786863005,1786883400,109.884,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xb9823bd6828c51430db01ce8f22e593a7284a275e2164d64690e370ae9e52fde,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,22.94707,1.2325,1X2,,Eredivisie,FC Twente vs PEC Zwolle,FC Twente,PEC Zwolle,0x900106ae9769427634f0a460c468c56f1760f496b93b1b2ef92e8c7ddc990ede,L19730053,0,0,SUCCESS,1,1786863004,1786883400,98.697075,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x6fbaf582b33046e3b886be951762cc2b87ff6c4eb423ccd75f6eb28e4ca4ecc4,0x86aaA5Ea1D96e252c2C62869556dF1346F9a9264,1,1.52,1.39,1X2,FC Groningen,Eredivisie,ADO Den Haag vs FC Groningen,ADO Den Haag,FC Groningen,0x294b41d5d6dd7d5e53c8088f6b695d950acf807a69fe57e0b97ba8a20543cda4,L19747011,0,0,SUCCESS,1,1786862993,1786875300,3.897436,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xf77b849665b06835e94096d6532c487be19d519dcc1ecfb6fc5e94f3c292d858,0x86aaA5Ea1D96e252c2C62869556dF1346F9a9264,1,3.04,1.39,1X2,FC Groningen,Eredivisie,ADO Den Haag vs FC Groningen,ADO Den Haag,FC Groningen,0x294b41d5d6dd7d5e53c8088f6b695d950acf807a69fe57e0b97ba8a20543cda4,L19747011,0,0,SUCCESS,1,1786862981,1786875300,7.794872,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x84fac240c640fc778ba0a8d7b1997c86441b7e982f28f4574d42a0630f606f35,0xEeEaAC484887A0468d3FE9Be22802BD41c5Bf4BA,,99.18834,1.6637,Under/Over (3.5),,Eredivisie,ADO Den Haag vs FC Groningen,ADO Den Haag,FC Groningen,0xc84d2e1d6f0aa1c6e6f46e70d7b813cb5702ed80cffd5e417d81778a65b8149e,L19747011,0,0,SUCCESS,1,1786862887,1786875300,149.436294,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x4f074ece099bb0c192cd745a2e9befb5ed213020ca8f16065524fbb8cfeca0ca,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,5.03918,1.3188,Asian Handicap (-2),AFC Ajax -2,Eredivisie,AFC Ajax vs SC Heerenveen,AFC Ajax,SC Heerenveen,0xe6ee0c2d3a74685c68e7c135fae8671f7d1607db62cad035aa2a33037b896fe7,L19730060,0,0,SUCCESS,1,1786862863,1786891500,15.809192,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xfa20892c7f5468f0d398d31337d93a6704ca07161f36c804131344961c331d93,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,1.26999,1.8638,1X2,,Eredivisie,AFC Ajax vs SC Heerenveen,AFC Ajax,SC Heerenveen,0x05c8971d2984ebca40f988633635def46cedaf35f036978841399c22dad3cbfd,L19730060,0,0,SUCCESS,1,1786862432,1786891500,1.470321,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
