fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x6d6fbb3dee9236b63f5347d74326a272c086805ac0f67c9802ec942a1bab27c3,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,4.84999,1.6825,1X2,,Europa League_UEFA,RSC Anderlecht vs PAOK,RSC Anderlecht,PAOK,0x9ed330ac51b5351f175afb54cd0ae44e218ef26cc7edb13fefe18f7ddb93d9ea,L19722339,0,0,SUCCESS,1,1786644062,1786645800,7.106212,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x69de7ff5100d0bbb49590f58c7c11cf419b8d0c1452075065b5718069ad62725,0x06a093a3A59Ea8C48045fA50224c6c6700bcF052,,5.38,1.35,1X2,,Europa League_UEFA,Heart of Midlothian vs SL Benfica FC,Heart of Midlothian,SL Benfica FC,0x391abf5bc46691215c0a337d56c131e0e76fb437e5581cb791ed562706505e17,L19722965,0,0,SUCCESS,1,1786644048,1786646700,15.371429,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xd20b74c2a61375240f6c90c3fe2e19fb23f03ab9517c0c02c418f9483b324612,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,233.61999,1.6513,1X2,SL Benfica FC,Europa League_UEFA,Heart of Midlothian vs SL Benfica FC,Heart of Midlothian,SL Benfica FC,0x391abf5bc46691215c0a337d56c131e0e76fb437e5581cb791ed562706505e17,L19722965,0,0,SUCCESS,1,1786644015,1786646700,358.725512,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xea8f31d706b637f2f688ea4227ae8920b481c2e4b24bd75a2e329dd0eda3b1dd,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,22.27,1.6212,1X2,,Europa League_UEFA,PFC CSKA Sofia vs Maccabi Tel Aviv,PFC CSKA Sofia,Maccabi Tel Aviv,0xbc05f2221a9d17a6059a9e752e03ae25b531c540488227f2fcc7964b9fe7cf2c,L19721866,0,0,SUCCESS,1,1786643984,1786644000,35.847082,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x44d7c2972938a58d77d38497d5343ff0b3a37dcc4cd3c22c677a0adc1db0691c,0x97EC1C9682F70091efB04e97b0B34698cF815EE1,1,15.28,1.2675,1X2,Tie,Europa League_UEFA,Egnatia Rrogozhine vs Shamrock Rovers,Egnatia Rrogozhine,Shamrock Rovers,0xb33087de71e07127491afc73acb235e4bb1befa88de4775c88b304aea0baf857,L19702284,0,0,SUCCESS,1,1786643958,1786647600,57.121495,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xda31161ea832593d039a51b98ee8d6eddcb732e7a00fc63466b253bd6ae021a7,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,68.18,1.7087,Under/Over (3.5),,Europa League_UEFA,RSC Anderlecht vs PAOK,RSC Anderlecht,PAOK,0x631d8e4175a6c2f2827506eabe51133d2966fb1c2b0c28794964fe4429d65492,L19722339,0,0,SUCCESS,1,1786643950,1786645800,96.197531,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xee88499a5688e8b820863b19ba9aaefb800a1d86d3cde72c4848e5d6a6d84af2,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,29.04908,1.6212,1X2,,Europa League_UEFA,PFC CSKA Sofia vs Maccabi Tel Aviv,PFC CSKA Sofia,Maccabi Tel Aviv,0xbc05f2221a9d17a6059a9e752e03ae25b531c540488227f2fcc7964b9fe7cf2c,L19721866,0,0,SUCCESS,1,1786643924,1786644000,46.759082,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x8d22fd81d40161e360a49cd90c7eac9acef6f84427fdb7286fedfe1ced36870f,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,16.80999,1.7288,Under/Over (3.5),,Europa League_UEFA,PFC CSKA Sofia vs Maccabi Tel Aviv,PFC CSKA Sofia,Maccabi Tel Aviv,0xca53611315b92842baecd5c1ddc2bb2c1f6efa01f3ef35487bc89cfa4e182911,L19721866,0,0,SUCCESS,1,1786643922,1786644000,23.066882,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x07c94ba5dbd039880993b9c69c15c4d2de423397d8af0cd0f9969157be044681,0x97EC1C9682F70091efB04e97b0B34698cF815EE1,1,8.63,1.1487,1X2,Tie,Europa League_UEFA,Pafos FC vs FC Red Bull Salzburg,Pafos FC,FC Red Bull Salzburg,0x96e74d039b1d3622b5b662edddbca91eebecbf8d449b76d2be286ac581fb630d,L19695200,0,0,SUCCESS,1,1786643910,1786640400,58.016807,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xac59c2149ea0c7563343b235cc1574eb040136fdae3d1c8898b8c084acbaa70f,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,248.65,1.6513,1X2,SL Benfica FC,Europa League_UEFA,Heart of Midlothian vs SL Benfica FC,Heart of Midlothian,SL Benfica FC,0x391abf5bc46691215c0a337d56c131e0e76fb437e5581cb791ed562706505e17,L19722965,0,0,SUCCESS,1,1786643887,1786646700,381.804223,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x06baec5b02abfa2f7ec05aead4763fd19f5afb8098217e83296da13e85b233a3,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,1,147,1.34,1X2,Maccabi Tel Aviv,Europa League_UEFA,PFC CSKA Sofia vs Maccabi Tel Aviv,PFC CSKA Sofia,Maccabi Tel Aviv,0xae0965e1a7878f41e6873fb3e297854b0bcc0d4153c4275742e3360e1f0a92f7,L19721866,0,0,SUCCESS,1,1786643872,1786644000,432.352941,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x9b92532fde3f4036384679b627e5e08f1bd2ee6f667aba8404a3d6d75aaf5475,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,29.43999,1.6187,1X2,,Europa League_UEFA,PFC CSKA Sofia vs Maccabi Tel Aviv,PFC CSKA Sofia,Maccabi Tel Aviv,0xbc05f2221a9d17a6059a9e752e03ae25b531c540488227f2fcc7964b9fe7cf2c,L19721866,0,0,SUCCESS,1,1786643870,1786644000,47.579782,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x08bd200034d69435b662a3156a9f5acdcd6147dc78a62896705e27ecbb69a971,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,46.35,1.4688,Europa League,,Europa League_UEFA,PFC CSKA Sofia vs Maccabi Tel Aviv,PFC CSKA Sofia,Maccabi Tel Aviv,0x98c30cba0c790e53bf9ca4472ee64ce16fb573b4a946e5d3be7338f4670b3b24,L19721866,0,0,SUCCESS,1,1786643870,1786644000,98.88,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x8f00053da3dd1d2885e8b3791e2c22217f0db9ea67f609532e22f2888bba5124,0xa141274f45d09C2533035cd3c6ab42F3470dF7A8,1,45,1.5025,Under/Over (2.5),Over 2.5,Europa League_UEFA,PFC CSKA Sofia vs Maccabi Tel Aviv,PFC CSKA Sofia,Maccabi Tel Aviv,0x0e9e8f23191eb8231e7fd272ba80ad9eefe3f1d06c9e604643552dad29b16ba1,L19721866,0,0,SUCCESS,1,1786643844,1786644000,89.552239,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xeeb7088dad91db1bc45ff3d6351fc50969dac8997f2a7df075c2ab71019a2542,0x09b3a190a1e971Dd0B4F82Eb9008287fe43a540C,,40,1.4688,Europa League,,Europa League_UEFA,PFC CSKA Sofia vs Maccabi Tel Aviv,PFC CSKA Sofia,Maccabi Tel Aviv,0x98c30cba0c790e53bf9ca4472ee64ce16fb573b4a946e5d3be7338f4670b3b24,L19721866,0,0,SUCCESS,1,1786643810,1786644000,85.333333,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
