fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x9caf70ca593ee446a5ca13b61e7ed62c2c5e1d5c6b9b5b8e07e94edf6e84206c,0xf4a8B27C9a13e298D65b5Cc072d252816B799C81,,5,1.3875,Under/Over (2.5),,FA Cup England,Aylesbury United vs Flackwell Heath,Aylesbury United,Flackwell Heath,0xd6c5f0ad4e7b4637564ab8e547272a534c7a697d2506cebcc04ecb104289b2d5,L19778647,0,0,SUCCESS,1,1786559539,1786560300,12.903226,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xe9f7dfeb0827edb3ad9a819f95f1c913cc998aa942c776cc31a9a95143a7a187,0xf4a8B27C9a13e298D65b5Cc072d252816B799C81,,20,1.6513,1X2,,FA Cup England,Aylesbury United vs Flackwell Heath,Aylesbury United,Flackwell Heath,0x0dac0ebafae7f9fd2bb15d38aa13e0b30cc6becf97cc30e304388a5d48758d90,L19778647,0,0,SUCCESS,1,1786559434,1786560300,30.710173,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x5280fa1e8d6de44c7914cb4eb06f5cb04b2bcf5a22baa51e4e335978ef409473,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,8.16999,1.6175,Asian Handicap (-0.5),,FA Cup England,Mossley AFC vs Silsden,Mossley AFC,Silsden,0x58ce427771a4747942dba5d0b61c2976c834540fc4bf96c0add242cd6c115aee,L19766919,0,0,SUCCESS,1,1786473900,1786473900,13.230753,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x1e35e28c6d26caa2fbc05eafb4824258a3ed9e6efbc34d2a13b9d6a6b99c1bab,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,17.24,1.3962,FA Cup England,,FA Cup England,Mossley AFC vs Silsden,Mossley AFC,Silsden,0xc1eb934b4da4af416075dd27e12ab004a24c884d01e4fe0f758a94ff25ab7015,L19766919,0,0,SUCCESS,1,1786473312,1786473900,43.507886,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x1b24cd8e3f0e2cb21aa61e8f0d6c1ef0d3db1ac2f4f98bd9204322e433d2356f,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,17.34999,1.6225,FA Cup England,Mossley AFC,FA Cup England,Mossley AFC vs Silsden,Mossley AFC,Silsden,0xc1eb934b4da4af416075dd27e12ab004a24c884d01e4fe0f758a94ff25ab7015,L19766919,0,0,SUCCESS,1,1786473226,1786473900,27.87147,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x255d243aa4448d42eb1c138a144e082bae6733c497d4d7df7f2970d0796100b8,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,4.41999,1.6663,Under/Over (2),Over 2.0,FA Cup England,Mossley AFC vs Silsden,Mossley AFC,Silsden,0xe413b3f2bfa9b50149089dee4c1368189d76c84d20ddd0f3eef933c38b2eba68,L19766919,0,0,SUCCESS,1,1786473225,1786473900,6.634131,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xa0f8e864c3790e0b04279f595cd2b6256076aae2d5cb0653cf1c7d3818da77a6,0x97EC1C9682F70091efB04e97b0B34698cF815EE1,,12.97997,1.7825,1X2,,FA Cup England,Mossley AFC vs Silsden,Mossley AFC,Silsden,0x3a78b8f99779adbd9e98e2e6eab392c9d1ce2c8336e5cb1caece466b178bf3ab,L19766919,0,0,SUCCESS,1,1786457562,1786473900,16.587821,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x52a7fcd3920570261f5a16eb304eddc2d668c08ad563042cb4e41659646fa2dd,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,0.00249,1.645,1X2,Kingstonian,FA Cup England,Kingstonian vs Hastings United,Kingstonian,Hastings United,0x7514670cd8b9a0dfc860e92bddfba35e407f914f1a88a19a52848f51ccad6fe0,L19718588,0,0,SUCCESS,1,1786131380,1786128300,0.00386,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x1a7f9c36ef037446acb729c4aa4b82309312cfa92208667128e6f99321df4af3,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,102.78,1.5875,1X2,Kingstonian,FA Cup England,Kingstonian vs Hastings United,Kingstonian,Hastings United,0x7514670cd8b9a0dfc860e92bddfba35e407f914f1a88a19a52848f51ccad6fe0,L19718588,0,0,SUCCESS,1,1786131367,1786128300,174.944681,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x49acf03cf8812b8213b89dd52064fde8bac878e692008a60c3372c3951d2b712,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,156.31,1.55,1X2,,FA Cup England,Kingstonian vs Hastings United,Kingstonian,Hastings United,0x7514670cd8b9a0dfc860e92bddfba35e407f914f1a88a19a52848f51ccad6fe0,L19718588,0,0,SUCCESS,1,1786131009,1786128300,284.2,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x6fe66db5744d90337799e26ebe4b2167deaf50f2214378a04d3f33ce33b9bd6d,0x62f30772266D06e1468de3b73416006613793F89,1,2.26,1.4412,1X2,Kingstonian,FA Cup England,Kingstonian vs Hastings United,Kingstonian,Hastings United,0x7514670cd8b9a0dfc860e92bddfba35e407f914f1a88a19a52848f51ccad6fe0,L19718588,0,0,SUCCESS,1,1786108854,1786128300,5.121813,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x78624edc9adf7b0e4c4d4036f7e28d75b883bf617d8c603636db4118e2de1309,0x62f30772266D06e1468de3b73416006613793F89,1,2.26,1.4425,1X2,Kingstonian,FA Cup England,Kingstonian vs Hastings United,Kingstonian,Hastings United,0x7514670cd8b9a0dfc860e92bddfba35e407f914f1a88a19a52848f51ccad6fe0,L19718588,0,0,SUCCESS,1,1786108249,1786128300,5.107345,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
