fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0xd9665fa956b20b9c871c223e4e265c3374d27f3382781ec41c42058165987095,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,12.17677,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502928,1785553200,25.236829,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xb0db90a3d2ee82ecb9ed4ccae2537194698651c11a7021bf5a84d0a3fd4b0347,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,14.11603,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502925,1785553200,29.256021,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x88dc09a7170ee2f441da0ce0d417a15c9e0e3ad81367abc2bccdcd287c5a3527,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,14.43304,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502922,1785553200,29.913036,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x82f922c8d0e4a0fa19d1288c11bb76fee9440d5dfcf2ead603ea2c3aef5d4c1b,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,13.51932,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502920,1785553200,28.019316,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xc85de93995f21562f7cf7a8a7c293959901a1db32ccf20e82f940d10e0d270a1,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,14.36777,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502919,1785553200,29.777762,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x1bd394e77d9a3585c859214b88cf4d3c1f56f9024753542c16035c52b8592555,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,14.55425,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502917,1785553200,30.164249,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x264f774709c72393d1db72ef89fe98c3c317c8072247cd01b57d7c894f29e454,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,56.68792,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502916,1785553200,117.487917,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xb6ccb8a23d98fc94a7844e65bf07f75984c3f6ab2c03cba6926bc4fbd7a72fde,0x0DeAbC808957aBc9f4778C03b03CC1D2cBBC9D60,,5,1.6462,1X2,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xe673b69f0e7e808a0e8ad5fdd3f1565a51ba11f9cf701037090d8a39c9627c8c,L19532549,0,0,SUCCESS,1,1785502902,1785553200,7.736944,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xf536fe90d5758cbe791a785b23a01ebdc520a812067b12b40da591c978c752c2,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,3.71999,1.6462,1X2,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xe673b69f0e7e808a0e8ad5fdd3f1565a51ba11f9cf701037090d8a39c9627c8c,L19532549,0,0,SUCCESS,1,1785502896,1785553200,5.756271,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x2590b76bcb0b74196876d9f57a69e36274e1a61d96fcb6ae7e15e8c2c05a433b,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,95.93127,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502896,1785553200,198.821285,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x0f68060881eaaeb77c924da3f203620c1a6d8999ad4475544b4de8459973d7ad,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,2,1.3713,1X2,FC Juarez,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0x37bc9570caeea6400aa2544b7d0f8b9753fe12bfa6d8d9e78a9d709530ff5427,L19532549,0,0,SUCCESS,1,1785502896,1785553200,5.387205,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xac54163235b5b25ca424601e0b78f361a67635996629386e780a020dd0117980,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,90.54217,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502895,1785553200,187.652166,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x597bc5f7f43698d82c0b8cbe7bdb69fd51a40e5bbc210674a90280d3c0ff5496,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,5.27,1.3713,1X2,FC Juarez,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0x37bc9570caeea6400aa2544b7d0f8b9753fe12bfa6d8d9e78a9d709530ff5427,L19532549,0,0,SUCCESS,1,1785502895,1785553200,14.195286,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x2b41f5d51c1677ba0c48c27264a9014620cfc3fd9ade59cd30deea3e92d22a08,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,9.83,1.6462,1X2,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xe673b69f0e7e808a0e8ad5fdd3f1565a51ba11f9cf701037090d8a39c9627c8c,L19532549,0,0,SUCCESS,1,1785502895,1785553200,15.210832,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xebb98c978361ef154617eec198ff0be7024d7dbf1aa3efbc78e63612a1eb026a,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,20.78,1.1487,Under/Over (4.5),Over 4.5,Liga MX,Atletico San Luis vs Tijuana,Atletico San Luis,Tijuana,0xf7addab791e6a705c49c646011a5807df3416b765e3e51a8aa29e2ddc7ff8d31,L19532655,0,0,SUCCESS,1,1785502886,1785553200,139.697479,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xf4ab8fee841f95746cc9a9e8712829b4a652b73666f9f6b15d4ecad86472ae41,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,13.7014,1.6462,1X2,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xe673b69f0e7e808a0e8ad5fdd3f1565a51ba11f9cf701037090d8a39c9627c8c,L19532549,0,0,SUCCESS,1,1785502869,1785553200,21.201393,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x3000408be43256e1a6eea5bf064ecf1f94ca7c76c6838b7436f704414ab6f329,0x0DeAbC808957aBc9f4778C03b03CC1D2cBBC9D60,,5,1.6462,1X2,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xe673b69f0e7e808a0e8ad5fdd3f1565a51ba11f9cf701037090d8a39c9627c8c,L19532549,0,0,SUCCESS,1,1785502831,1785553200,7.736944,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x53f0125467b76f9937d6bcd0a371f17569fe6cd083c28c2ef47441e8628483c3,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,77.63373,1.4775,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502815,1785553200,162.583728,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x29ee5718bedac3d23e81b251a25e79d8722856b87908829274d614d648f81a91,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,38.19953,1.6462,1X2,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xe673b69f0e7e808a0e8ad5fdd3f1565a51ba11f9cf701037090d8a39c9627c8c,L19532549,0,0,SUCCESS,1,1785502815,1785553200,59.109524,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x4d18798e22b94ed125ac514732a7e35089651de0de07eeab3c61f00838023e02,0xF974DAF59EA0cdfBD2125EcBB5BacEBA8F4727dA,1,15.05,1.5225,Liga MX,FC Juarez,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502811,1785553200,28.803828,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x903f866338a71d2bf93e2755bfd491766ec5e08dddde2d3d71e4f6494906e31e,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,51.94219,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502801,1785553200,107.652207,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x8a1e41b646b75648e546af26c5d899b19b79c49d48695188174a2bfddc073334,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,1.99,1.3713,1X2,FC Juarez,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0x37bc9570caeea6400aa2544b7d0f8b9753fe12bfa6d8d9e78a9d709530ff5427,L19532549,0,0,SUCCESS,1,1785502800,1785553200,5.360269,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x41726f0841764cf8249fb63a90cbda1c0b6101b459362998b2b1b0ffb145a57a,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,0.99999,1.6462,1X2,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xe673b69f0e7e808a0e8ad5fdd3f1565a51ba11f9cf701037090d8a39c9627c8c,L19532549,0,0,SUCCESS,1,1785502800,1785553200,1.547373,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x24ee7127443eba91b1e41a7dc03d8c3ce28b6fb177712197e1bad159f8d535de,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,41.29454,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502800,1785553200,85.584539,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x25202219178f6ae61146c0290377770c9b3e72c8646336dd33bc5968af2a569c,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,14.15336,1.4825,Liga MX,,Liga MX,FC Juarez vs Pumas UNAM,FC Juarez,Pumas UNAM,0xd04f4a07e771e34f4150066dd7c60ae32650e943f9c1339ce585a1a92205f96c,L19532549,0,0,SUCCESS,1,1785502771,1785553200,29.333389,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
