fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x91afdb3056b97dc838512da3006edc8d40d795e1cbf61754dd27b42bffbd9db4,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,3.8,1.5038,LigaPro,Libertad FC 0,LigaPro,Libertad FC vs Orense Sporting Club,Libertad FC,Orense Sporting Club,0xf805a6b6914a32854187614782fd2287c1f192abfc5aeb543744efbea5dd36e2,L19614758,0,0,SUCCESS,1,1785487800,1785542400,7.543424,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xcdbab7f720ecc2609cc986e33ee19c14fa06efd04db5f8d0ad2191eac40b0fc7,0xB892ABBd5A3E0A440c0F94149848F2C1DDf05C5B,,10,1.3675,Asian Handicap (0.5),,LigaPro,Leones Del Norte vs Barcelona Sporting Club,Leones Del Norte,Barcelona Sporting Club,0xaa6e0d011cd1f0f90445686073986da2b91bd350bd98d5463185fb2d4823b6c3,L19615984,0,0,SUCCESS,1,1785460511,1785712200,27.210884,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x8eed2f9e278deaeb4e1628ba136974f1228d0035db9cb9a273c6e2e8572240ac,0x3287C9BCD7D05d027E8398cCAfE385a232D16B2C,,9.6,1.3675,Asian Handicap (0.5),,LigaPro,Leones Del Norte vs Barcelona Sporting Club,Leones Del Norte,Barcelona Sporting Club,0xaa6e0d011cd1f0f90445686073986da2b91bd350bd98d5463185fb2d4823b6c3,L19615984,0,0,SUCCESS,1,1785460290,1785712200,26.122449,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x5cef349f9cfb08f0092efea94b1e1eba2316aeb489bcac201bd39d8fcdf537c8,0x7E3a6e22cac4eECeceCc7D9086d7c0fE1195Ec16,,0.44982,1.7,1X2,,LigaPro,Manta FC vs Mushuc Runa,Manta FC,Mushuc Runa,0x6bb6296b7aec74167b3bd11b6c86d525a8bef7b59c2155a1e98611017de1a15f,L19605615,0,0,SUCCESS,1,1785459886,1785610800,0.6426,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x4ec9bf0ae9b293566857be0aa3d45d789368888ea7711a80eb74a83b16d81f4e,0x0fE55cE066A9810115Ea99B11a14e96a4b635810,,463.04,1.65,1X2,,LigaPro,Manta FC vs Mushuc Runa,Manta FC,Mushuc Runa,0x6bb6296b7aec74167b3bd11b6c86d525a8bef7b59c2155a1e98611017de1a15f,L19605615,0,0,SUCCESS,1,1785459772,1785610800,712.369231,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xbd33d07c10885c67a924c31f597f4aa5269e749d7ebe942f21e7126f5b3963fb,0x90aaAb8CC5139A43b5B8A6386929790Aa027Ab30,,9.84,1.4363,Asian Handicap (0.5),,LigaPro,Leones Del Norte vs Barcelona Sporting Club,Leones Del Norte,Barcelona Sporting Club,0xaa6e0d011cd1f0f90445686073986da2b91bd350bd98d5463185fb2d4823b6c3,L19615984,0,0,SUCCESS,1,1785459616,1785712200,22.555874,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x822816cff19781f933159cdf709b5e367523844ca5b9fd352afa4ced63e4f188,0x0c68d398894468F84ECb4805726f19c37e2B3415,,20,1.435,Asian Handicap (0.5),,LigaPro,Leones Del Norte vs Barcelona Sporting Club,Leones Del Norte,Barcelona Sporting Club,0xaa6e0d011cd1f0f90445686073986da2b91bd350bd98d5463185fb2d4823b6c3,L19615984,0,0,SUCCESS,1,1785459612,1785712200,45.977011,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x112b0eec53123207d54d485755814cb85c7a0e1221a71fe48e719c11999f226b,0xB892ABBd5A3E0A440c0F94149848F2C1DDf05C5B,,0.6173,1.4087,Asian Handicap (0.5),,LigaPro,Leones Del Norte vs Barcelona Sporting Club,Leones Del Norte,Barcelona Sporting Club,0xaa6e0d011cd1f0f90445686073986da2b91bd350bd98d5463185fb2d4823b6c3,L19615984,0,0,SUCCESS,1,1785459609,1785712200,1.510214,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x6d2158602245d1bbacc34a6453b10a1fe16d7c6af14c30668a211849eeb8ba5b,0x9CbF4a8A9EC2a8BABcaC7819e205a7B128798fAa,,40,1.355,Asian Handicap (0.5),,LigaPro,Leones Del Norte vs Barcelona Sporting Club,Leones Del Norte,Barcelona Sporting Club,0xaa6e0d011cd1f0f90445686073986da2b91bd350bd98d5463185fb2d4823b6c3,L19615984,0,0,SUCCESS,1,1785459608,1785712200,112.676056,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x31f03e88b769cce674016ee1a73349f277ff02ed997281a0fac5b88a4adc21b5,0x104A90467B551Fee945180a93e5f0f385c538A75,,100,1.355,Asian Handicap (0.5),,LigaPro,Leones Del Norte vs Barcelona Sporting Club,Leones Del Norte,Barcelona Sporting Club,0xaa6e0d011cd1f0f90445686073986da2b91bd350bd98d5463185fb2d4823b6c3,L19615984,0,0,SUCCESS,1,1785459600,1785712200,281.690141,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
