fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x3f04d6f5d5d7c811cf5817ae274a086c7ebe8b84d69abe62b120561dc55e5703,0x97EC1C9682F70091efB04e97b0B34698cF815EE1,,5.73,1.2725,Under/Over (2.5),,Major League Soccer,New York Red Bulls vs Orlando City,New York Red Bulls,Orlando City,0x7dac75c8ff6de271e3d2096e8b5dfd7f0e12f064531fb8c89242e8840cae4b82,L19525733,0,0,SUCCESS,1,1785603498,1785627000,21.027523,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xa594397e77048c7c528614b043111632b846d7c67aa25ff1e94765e25a85881f,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,6.09,1.5075,Asian Handicap (-1),Inter Miami CF -1,Major League Soccer,Inter Miami CF vs Columbus Crew,Inter Miami CF,Columbus Crew,0xc82354abefeb880021036db5a4e3d9a565ac32462b1e92cb697d07fe75811589,L19525721,0,0,SUCCESS,1,1785603369,1785627000,12.0,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x00acf6fa1a731a6f513bc6b40582118a24e0cf840a699e0f61fd45f0ca075f77,0xa141274f45d09C2533035cd3c6ab42F3470dF7A8,1,199.99999,1.5075,Asian Handicap (-1),Inter Miami CF -1,Major League Soccer,Inter Miami CF vs Columbus Crew,Inter Miami CF,Columbus Crew,0xc82354abefeb880021036db5a4e3d9a565ac32462b1e92cb697d07fe75811589,L19525721,0,0,SUCCESS,1,1785603322,1785627000,394.08865,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x57affdf6fb849b03b1884ed65ba23c6c3c4b675a40c00f63e85e8ad702afe374,0x0DeAbC808957aBc9f4778C03b03CC1D2cBBC9D60,1,5,1.3,1X2,Sporting Kansas City,Major League Soccer,Sporting Kansas City vs Houston Dynamo,Sporting Kansas City,Houston Dynamo,0xef84765261e4c361f8840db0cdad4e956506e1d2fffbfd42b10ec3cbadb54292,L19526221,0,0,SUCCESS,1,1785603258,1785630600,16.666667,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x816b4217db3c1e31333f748924215b8ad0da264d4768b7770c44fba409a6dc5c,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,40.15,1.3,1X2,Sporting Kansas City,Major League Soccer,Sporting Kansas City vs Houston Dynamo,Sporting Kansas City,Houston Dynamo,0xef84765261e4c361f8840db0cdad4e956506e1d2fffbfd42b10ec3cbadb54292,L19526221,0,0,SUCCESS,1,1785603227,1785630600,133.833333,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xd28966c9598ac6ecf85ef34853431915c14b7b78ab949faefef5e70996f800f1,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,9.57,1.4062,1X2,,Major League Soccer,Philadelphia Union FC vs Atlanta United,Philadelphia Union FC,Atlanta United,0xa64402170781d1aec34ca3a3792544bf2a0eea04bce437e1fe3d09d31b091cfc,L19525729,0,0,SUCCESS,1,1785603001,1785627000,23.556923,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xc74c8185866336a75b2cd3631b21dacc29e20c0b5084d7281855a318c01aa310,0x0DeAbC808957aBc9f4778C03b03CC1D2cBBC9D60,1,5,1.3,1X2,Sporting Kansas City,Major League Soccer,Sporting Kansas City vs Houston Dynamo,Sporting Kansas City,Houston Dynamo,0xef84765261e4c361f8840db0cdad4e956506e1d2fffbfd42b10ec3cbadb54292,L19526221,0,0,SUCCESS,1,1785602985,1785630600,16.666667,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xdb7279edfb119c168415b3388d728152daae87e2b39050e0b4c175351951c07f,0x0DeAbC808957aBc9f4778C03b03CC1D2cBBC9D60,1,5,1.3,1X2,Sporting Kansas City,Major League Soccer,Sporting Kansas City vs Houston Dynamo,Sporting Kansas City,Houston Dynamo,0xef84765261e4c361f8840db0cdad4e956506e1d2fffbfd42b10ec3cbadb54292,L19526221,0,0,SUCCESS,1,1785602984,1785630600,16.666667,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x3d552de666e52a310799bf97f25e5c546a9a9ae28e24ae34c02f1f996f91ee70,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,18.34,1.3,1X2,Sporting Kansas City,Major League Soccer,Sporting Kansas City vs Houston Dynamo,Sporting Kansas City,Houston Dynamo,0xef84765261e4c361f8840db0cdad4e956506e1d2fffbfd42b10ec3cbadb54292,L19526221,0,0,SUCCESS,1,1785602975,1785630600,61.133333,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x370c39acefd0408557056f1a693e0252221605acc776b5d28f204a80a42cfcb3,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,18.32,1.3,1X2,Sporting Kansas City,Major League Soccer,Sporting Kansas City vs Houston Dynamo,Sporting Kansas City,Houston Dynamo,0xef84765261e4c361f8840db0cdad4e956506e1d2fffbfd42b10ec3cbadb54292,L19526221,0,0,SUCCESS,1,1785602974,1785630600,61.066667,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x6caa7535e38bc5082aee92ced4cc38c88314824bf0ec99db21e6ace33d440e20,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,75.45,1.5075,Asian Handicap (-1),Inter Miami CF -1,Major League Soccer,Inter Miami CF vs Columbus Crew,Inter Miami CF,Columbus Crew,0xc82354abefeb880021036db5a4e3d9a565ac32462b1e92cb697d07fe75811589,L19525721,0,0,SUCCESS,1,1785602960,1785627000,148.669951,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x1615827a1abbb9a04ff7a749ce43ffb5ca1cc0a579e13e68e80e81152c940b6d,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,371.78,1.5075,Asian Handicap (-1),Inter Miami CF -1,Major League Soccer,Inter Miami CF vs Columbus Crew,Inter Miami CF,Columbus Crew,0xc82354abefeb880021036db5a4e3d9a565ac32462b1e92cb697d07fe75811589,L19525721,0,0,SUCCESS,1,1785602959,1785627000,732.571429,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x6191081445c51a567122f6f5f2f81f89398157f26bb87176b49e3f737a7aeb07,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,3.49,1.3388,1X2,FC Dallas,Major League Soccer,LA Galaxy vs FC Dallas,LA Galaxy,FC Dallas,0xb0f4a2afcfeeeb8e41dc252ee7ef20f88e6f66334773409a37d43c97843cf832,L19527255,0,0,SUCCESS,1,1785602757,1785637800,10.302583,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
