fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x75ef518b65fe522ded9c78a1d5f31a90d2901382f170023f7b6dd2d74fefc9ff,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,1,1.635,Under/Over (3),,Premiership,St. Johnstone vs Kilmarnock,St. Johnstone,Kilmarnock,0x53a71c3f6c6ea99c0a39f725804b4ea70d4a29654a2903d942ccfb92e2bcd5c3,L19228040,0,0,SUCCESS,1,1785636203,1785675600,1.574803,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x828cc7a1897c5fc5bc4301f9a7440aeda6cda8fac90ae0bd1c98ee5719a0f76e,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,10,1.4912,Under/Over (2.5),Over 2.5,Premiership,Hibernian vs Motherwell,Hibernian,Motherwell,0x2783261fcb8854d285b611657288b8d77bcc8e0dfdcc94b3e12d815b0c6f0ad1,L19228046,0,0,SUCCESS,1,1785635973,1785684600,20.356234,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x6ab196073a2c34a857b463177bac529748ff13ee57f0aec52e6f6fc643ae0718,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,3.48,1.485,Under/Over (2.5),Over 2.5,Premiership,Hibernian vs Motherwell,Hibernian,Motherwell,0x2783261fcb8854d285b611657288b8d77bcc8e0dfdcc94b3e12d815b0c6f0ad1,L19228046,0,0,SUCCESS,1,1785630118,1785684600,7.175258,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x119739feb921ac6aaf1c73d753c84fe8b4ef7a1d89b8d653c384bcb65d17eb44,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,2.78,1.7225,1X2,,Premiership,St. Johnstone vs Kilmarnock,St. Johnstone,Kilmarnock,0x23b587c4d4eadaf253c4b86c75fcdd4ec70729ea8567febc472ad12253b9fe16,L19228040,0,0,SUCCESS,1,1785623149,1785675600,3.847751,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x285a5fd104f5d7656de510897faa7bd4458d7a455cf677dfe51254fe7ba4d2b6,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,540.4,1.44,Under/Over (2),Over 2.0,Premiership,Aberdeen vs Heart of Midlothian,Aberdeen,Heart of Midlothian,0x348e726f6237441e04fb457f50aef2158e209f96c9abe9cde51d535052b0a0ef,L19228039,0,0,SUCCESS,1,1785606461,1785601800,1228.181818,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xf22ffe2952c7c68f8dfc9f2d67c7abc2524fa132087e243d33ec3a6cc341bd65,0x97EC1C9682F70091efB04e97b0B34698cF815EE1,1,5,1.3225,Under/Over (2.5),Over 2.5,Premiership,Aberdeen vs Heart of Midlothian,Aberdeen,Heart of Midlothian,0xe60c02a40f6d793a7b64339680c7a119b47f886321c3addc85f497e35e0ca793,L19228039,0,0,SUCCESS,1,1785606213,1785601800,15.503876,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x59fde39b6f148fd1215b657887ed4f43e9a2db36d1798dda0c37e8dfc7fbde76,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,16.26,1.0938,Premiership,Aberdeen,Premiership,Aberdeen vs Heart of Midlothian,Aberdeen,Heart of Midlothian,0x13afa08855879d0fb10ba39752b59dd3851c9a86db3e7d49dcd53265c0a094b8,L19228039,0,0,SUCCESS,1,1785606061,1785601800,173.44,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x0e430f6a34ae833d3b326cdb6db44835894df5a80a68df992f04a51a1fbcede8,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,120.15,1.55,Under/Over (2),Over 2.0,Premiership,Aberdeen vs Heart of Midlothian,Aberdeen,Heart of Midlothian,0x348e726f6237441e04fb457f50aef2158e209f96c9abe9cde51d535052b0a0ef,L19228039,0,0,SUCCESS,1,1785606042,1785601800,218.454545,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xe2f524ccfb2b8ea547b7f17ddfbd89a1865cfb986eb6bc2ce1ce4630f8388d54,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,113.82262,1.0962,Premiership,Aberdeen,Premiership,Aberdeen vs Heart of Midlothian,Aberdeen,Heart of Midlothian,0x13afa08855879d0fb10ba39752b59dd3851c9a86db3e7d49dcd53265c0a094b8,L19228039,0,0,SUCCESS,1,1785605997,1785601800,1182.572675,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x798a2dd92705725f7e43da661a6058835f408eb6bcf6cdf2ebadab6d345eb3a1,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,111.28764,1.49,Asian Handicap (1),,Premiership,Aberdeen vs Heart of Midlothian,Aberdeen,Heart of Midlothian,0x28b154cd868e90e22afd88e0b88b37d60f306ff33bf341cfb50e3c409aac81a7,L19228039,0,0,SUCCESS,1,1785604719,1785601800,227.117633,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
