fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0xbaf8002fc5b79052b57de137f8b3ebb0f8344a384c25ae418f5ef91eeabcd007,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,187.53,1.2913,Asian Handicap (-2.5),Besiktas -2.5,Super Lig,Besiktas vs Eyüpspor,Besiktas,Eyüpspor,0xfc843c9a309e2c53548c8aaf555d21159fbd5ca1e72b19af652e091d6c692013,L19547679,0,0,SUCCESS,1,1786903212,1786905000,643.879828,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x5fec21898bbee74f71ae79a898cebc49291005fbb8a72e82209d399c365df417,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,78.43,1.7125,1X2,Besiktas,Super Lig,Besiktas vs Eyüpspor,Besiktas,Eyüpspor,0xe92981f35168468d4e30f494c83300794a1cf83b08b6f71cb511de119b307cf9,L19547679,0,0,SUCCESS,1,1786903212,1786905000,110.077193,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xe35963c1b324023dcca14e9b4d9b7b0d896866193d9c2c20942d24668489092c,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,8.27,1.195,1X2,Tie,Super Lig,Besiktas vs Eyüpspor,Besiktas,Eyüpspor,0x6f382b313350ffb20519fcb1f5bb0ef67b4264f84397c2cd70c041462500d58e,L19547679,0,0,SUCCESS,1,1786902509,1786905000,42.410256,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xe2b642ceb36f5757efd215ce4205f889c0530f0a75d16eaa7fdf2752852fb4cd,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,548.14,1.89,1X2,,Super Lig,Besiktas vs Eyüpspor,Besiktas,Eyüpspor,0xb8f932a9fa96eeba56ebb6ac9b244fff08aa5549ae0889565bafa0ebd8965cfa,L19547679,0,0,SUCCESS,1,1786902509,1786905000,615.88764,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x75a141405ba18529f100c4044190af0187703debbe175c391d76dbe20ea68092,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,181.44,1.585,1X2,,Super Lig,Amed Sportif Faliyetler vs BB Erzurumspor,Amed Sportif Faliyetler,BB Erzurumspor,0x755e3839fc8bcc681437944161549c0b0d7caabe58ba2f15421585dead12af26,L19547658,0,0,SUCCESS,1,1786902296,1786905000,310.153846,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x687e5abcbde4e4670627d34e69871227f3df7b577f4e316c8e1bb0f36d7da5f2,0x0DeAbC808957aBc9f4778C03b03CC1D2cBBC9D60,1,4.99999,1.7025,1X2,Besiktas,Super Lig,Besiktas vs Eyüpspor,Besiktas,Eyüpspor,0xe92981f35168468d4e30f494c83300794a1cf83b08b6f71cb511de119b307cf9,L19547679,0,0,SUCCESS,1,1786902215,1786905000,7.117423,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x641279c3fd00f596f5ddd4d03d2c3b0b0505a96dc2e302a7fa98a578668a77da,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,16.81999,1.6987,1X2,Besiktas,Super Lig,Besiktas vs Eyüpspor,Besiktas,Eyüpspor,0xe92981f35168468d4e30f494c83300794a1cf83b08b6f71cb511de119b307cf9,L19547679,0,0,SUCCESS,1,1786902201,1786905000,24.071542,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x618def3011f648cc69fc8fb6707459f955dcd3d552a626efd99b55600fa83a9b,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,,154.82,1.585,1X2,,Super Lig,Amed Sportif Faliyetler vs BB Erzurumspor,Amed Sportif Faliyetler,BB Erzurumspor,0x755e3839fc8bcc681437944161549c0b0d7caabe58ba2f15421585dead12af26,L19547658,0,0,SUCCESS,1,1786902100,1786905000,264.649573,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x21de5b596576b3bd9c805cc0d5425c87017877b17e7ffbc85671cc628d1290bf,0x0DeAbC808957aBc9f4778C03b03CC1D2cBBC9D60,1,4.99999,1.6987,1X2,Besiktas,Super Lig,Besiktas vs Eyüpspor,Besiktas,Eyüpspor,0xe92981f35168468d4e30f494c83300794a1cf83b08b6f71cb511de119b307cf9,L19547679,0,0,SUCCESS,1,1786902054,1786905000,7.155621,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xe65ff5b90cfb254b26f2cb3fbd533d95b5983ea4527cfd0e1a3d4579b1f0f119,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,36.52998,1.6975,1X2,Besiktas,Super Lig,Besiktas vs Eyüpspor,Besiktas,Eyüpspor,0xe92981f35168468d4e30f494c83300794a1cf83b08b6f71cb511de119b307cf9,L19547679,0,0,SUCCESS,1,1786902047,1786905000,52.372731,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
