fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x778f14efa9472f05ebfe47b26d4012954997fe2fce63d8a75e6648ae97ce114d,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,45.0,1.3425,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xd96de3e8de969349aa36c1ffeef8634f8828beca87b60d14618470446d1f70a6,L19526630,1,0,SUCCESS,1,1784987041,1784984400,131.817489,SXR,
0xff1127c72e7ed86e326c1529703d3756d662a91498f4a7d9d254725376ce8437,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,4.0,1.65,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xf389cb366f72029a56e040ef5b097727763fdc258fb4fdd4849ed64d26b85883,L19526630,1,0,SUCCESS,1,1784987011,1784984400,7.057138,SXR,
0xee445caf45c86ea545ac30f1fa6237f6f3e76b24ce9b2a77a7e3297f75340802,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,43.0,1.6513,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xf389cb366f72029a56e040ef5b097727763fdc258fb4fdd4849ed64d26b85883,L19526630,1,0,SUCCESS,1,1784987010,1784984400,66.035839,SXR,
0x3b620f5c222dbe8b5389bf9eb7ca93f4a8bf267e1482359219014b9d84244fa4,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,6.0,1.34,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xd96de3e8de969349aa36c1ffeef8634f8828beca87b60d14618470446d1f70a6,L19526630,1,0,SUCCESS,1,1784987003,1784984400,19.409088,SXR,
0xcd729aad2178db7c2eeaed82e932b3c63cc82534dc6c3c420125fecee1c41950,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,25.0,1.6462,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xf389cb366f72029a56e040ef5b097727763fdc258fb4fdd4849ed64d26b85883,L19526630,1,0,SUCCESS,1,1784986931,1784984400,39.943458,SXR,
0x7081c73bef089c7a589689c7672b98a3eee49f6076c9d5585793c1f5092f8dbd,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,2,33.0,1.6475,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xf389cb366f72029a56e040ef5b097727763fdc258fb4fdd4849ed64d26b85883,L19526630,1,0,SUCCESS,1,1784986893,1784984400,52.255305,SXR,
0xec32429ee6652a26727ef8152d9cab9f67e6a22f0a2a6ff6e09b86f82b5da9e8,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,1,16.0,1.31,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0x1c2d6a4c5e9af28e558b71d28e3a4ae877163569a3377a4f3c4c619c8c5590c2,L19526630,1,0,SUCCESS,1,1784986879,1784984400,51.612903,SXR,
0x034f4121b23dab28d68b40a276834242129defc465280f3b69aed6ece380187c,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,45.0,1.6462,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xf389cb366f72029a56e040ef5b097727763fdc258fb4fdd4849ed64d26b85883,L19526630,1,0,SUCCESS,1,1784986874,1784984400,70.784449,SXR,
0x6b42b6f259493c0d76c2bc459687f94d32dcd36c5c0fdffd17b23e357f74e58c,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,1,14.0,1.3062,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0x1c2d6a4c5e9af28e558b71d28e3a4ae877163569a3377a4f3c4c619c8c5590c2,L19526630,1,0,SUCCESS,1,1784986806,1784984400,48.979559,SXR,
0xe1e7a224a7303c00a7712d3503c9c9e0c6a4f690d7453729304b5cfa5faa5be9,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,43.0,1.6425,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xf389cb366f72029a56e040ef5b097727763fdc258fb4fdd4849ed64d26b85883,L19526630,1,0,SUCCESS,1,1784986806,1784984400,67.216778,SXR,
0x1ce7b58cdc51df148f80d7daffd944166e288fd2a402d2777abde8117eec5101,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,42.0,1.64,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xf389cb366f72029a56e040ef5b097727763fdc258fb4fdd4849ed64d26b85883,L19526630,1,0,SUCCESS,1,1784986722,1784984400,66.75,SXR,
0x9ec6f51b289c21ef9b014a0cb44be47fac31c9a47037a0edb55b73a84a58750e,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,13.0,1.3025,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xd96de3e8de969349aa36c1ffeef8634f8828beca87b60d14618470446d1f70a6,L19526630,1,0,SUCCESS,1,1784986259,1784984400,46.279537,SXR,
0x0e2cd9d87f825f72cdadc4e96d4f1110a36983dac40a3069a1b85c6766670230,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,2,3.0,1.6975,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xd96de3e8de969349aa36c1ffeef8634f8828beca87b60d14618470446d1f70a6,L19526630,1,0,SUCCESS,1,1784985945,1784984400,5.421477,SXR,
0xd2040a5b7b12755ff8882b69ea2ea724aa475809c9e3d8cc360e3ce29a43975d,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,37.0,1.675,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0x1c2d6a4c5e9af28e558b71d28e3a4ae877163569a3377a4f3c4c619c8c5590c2,L19526630,1,0,SUCCESS,1,1784985082,1784984400,55.415378,SXR,
0xb47bd670b21d68048a3f6419c32e6f303a912c471c89128b6d4de3e46a51bebb,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,38.0,1.6812,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0x1c2d6a4c5e9af28e558b71d28e3a4ae877163569a3377a4f3c4c619c8c5590c2,L19526630,1,0,SUCCESS,1,1784984789,1784984400,56.470576,SXR,
0xbbe3570b4d7dbabf4ab6b38ed66aa4ef893b6a7710f1ff60189d59d9676c361e,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,38.0,1.6825,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0x1c2d6a4c5e9af28e558b71d28e3a4ae877163569a3377a4f3c4c619c8c5590c2,L19526630,1,0,SUCCESS,1,1784984788,1784984400,56.703297,SXR,
0xb3f2c0c8264ffffa2463c5149d2a2bc42f99f4fdceaad445d5762b2522119c5c,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,36.0,1.685,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0x1c2d6a4c5e9af28e558b71d28e3a4ae877163569a3377a4f3c4c619c8c5590c2,L19526630,1,0,SUCCESS,1,1784984552,1784984400,53.854015,SXR,
0xe8a1a9a0b2d7c75ebdf26044e32257a1195e34c86eb1d40e90b0e05cdcff53a7,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,39.0,1.685,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0x1c2d6a4c5e9af28e558b71d28e3a4ae877163569a3377a4f3c4c619c8c5590c2,L19526630,1,0,SUCCESS,1,1784984542,1784984400,57.021898,SXR,
0xdbe2eaa94ab3902e195766c20dcbc0624625a506261f46ad721600818d3e67f2,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,54.0,1.7338,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0xd96de3e8de969349aa36c1ffeef8634f8828beca87b60d14618470446d1f70a6,L19526630,1,0,SUCCESS,1,1784984377,1784984400,73.727687,SXR,
0x856b4a0cea4cd6d0d6be1665cba0613c322e9cb64d37d75f9a70a4eec406680e,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,2,12.0,1.685,,,Superettan,IFK Varnamo vs IK Brage,IFK Varnamo,IK Brage,0x1c2d6a4c5e9af28e558b71d28e3a4ae877163569a3377a4f3c4c619c8c5590c2,L19526630,1,0,SUCCESS,1,1784984331,1784984400,17.841255,SXR,
