fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0xaa4e61c9c50dd008c3303bbc5b5d510e0c3ed60e76d2ed4a9bc1f2c4f3b9d8b0,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,29.0,1.5425,,,Swiss Super League,Servette FC vs FC Basel,Servette FC,FC Basel,0xc7d3899a20827c8438618ecd3870f2c826c6c80a36173fb012618b9b3dbae4ff,L19341514,1,0,SUCCESS,1,1784987191,1784995200,53.62212,SXR,
0x09d27b93d6e64a9b341ee546d06938e6325115571e24512fab3447fb6fdc2d73,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,1,19.0,1.5488,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x89230d1d7be2ea7701fb1a4141b45c7495b07ea27605e3e6de746851f6960f10,L19341507,1,0,SUCCESS,1,1784985471,1784995200,36.387809,SXR,
0x8b8d8f53afa55f4d03a0d23238647b04356e43fdd42d270fd6e2c21994bd85bd,0x0dE776fe723F8121F0cEAF1C9B03f774320c3ef5,2,7.0,1.495,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0x3276b3a23d4d7c17932e37a1368bed12245a7add2600e354caa12586d50c61e1,L19341512,1,0,SUCCESS,1,1784983743,1785004200,15.871283,SXR,
0x961e42c0d7c9a4a60c87daa0350ce3865f9f82fc2d158bef7f345f67ad40d3e2,0x0dE776fe723F8121F0cEAF1C9B03f774320c3ef5,2,7.0,1.495,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0x048c3f5ceada4c21457fdc752258dcf7e410181d5d3f79e9e1450bdb7d162541,L19341512,1,0,SUCCESS,1,1784983742,1785004200,15.871283,SXR,
0x559b686f7f1e0779751452901cd333e2d0b09acca9811dc87277b26d3bfbd233,0xE4DD6165bFF7EE73D7932C3b478f7E22431e85E7,1,18.0,1.5737,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0x048c3f5ceada4c21457fdc752258dcf7e410181d5d3f79e9e1450bdb7d162541,L19341512,1,0,SUCCESS,1,1784983741,1785004200,32.888889,SXR,
0x7d5e44e1da1e648b5a9dd99c3349de6972fbed01ca1f2d74d3be7d2c03d59c44,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,1,196.0,1.545,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x89230d1d7be2ea7701fb1a4141b45c7495b07ea27605e3e6de746851f6960f10,L19341507,1,0,SUCCESS,1,1784981368,1784995200,359.633028,SXR,
0xe197525d124178a80139166f5e50464981185ceacadb811ade178ac4bbe711b4,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,1,39.0,1.5488,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x89230d1d7be2ea7701fb1a4141b45c7495b07ea27605e3e6de746851f6960f10,L19341507,1,0,SUCCESS,1,1784980898,1784995200,72.265913,SXR,
0x8115636e87ff3f838e0efa0b50888e6039bda1c6c7428b36649becd18cc134e4,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,31.0,1.7825,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x97b42ae10f061d0f7bda7a97299287ab6059bc6a577d86a71ed566e60c26ae94,L19341507,1,0,SUCCESS,1,1784980883,1784995200,39.816089,SXR,
0x9cf8ad9d200d9377225f368004d418a9ad59f0e324b70a06d4fc0bba00dd079f,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,101.0,1.7837,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x97b42ae10f061d0f7bda7a97299287ab6059bc6a577d86a71ed566e60c26ae94,L19341507,1,0,SUCCESS,1,1784980855,1784995200,129.294788,SXR,
0x79693785539b981a5fca455cbc859094f663cd65f328185cba8cd3b2e11a35a7,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,19.0,1.7125,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0x844aff1ee37992da403c0a7e2dbe2bda82c639b62e48dc60b590d4450eeef017,L19341512,1,0,SUCCESS,1,1784979995,1785004200,27.826077,SXR,
0x22b66f39e81847c9757aaf13681e3387d1daad95946ec75e2dc2645d6c43ab12,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,97.0,1.7837,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x97b42ae10f061d0f7bda7a97299287ab6059bc6a577d86a71ed566e60c26ae94,L19341507,1,0,SUCCESS,1,1784979905,1784995200,124.708134,SXR,
0x5ff5c8a12e21b1a77d72fd6e605139cfbf5baf2bab64cb8ad4237db4ecdb8f00,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2,1,119.0,1.4775,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0xc8f73cd2e39fc6eb9efe7a801aaf01142a89d846e6c3402564550b138a19b1de,L19341512,1,0,SUCCESS,1,1784979491,1785004200,250.794241,SXR,
0x71930efc839bb856fcb36d64724621ee2da43308ab2d64a4a9b2181592a56579,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,69.0,1.7138,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0x844aff1ee37992da403c0a7e2dbe2bda82c639b62e48dc60b590d4450eeef017,L19341512,1,0,SUCCESS,1,1784979300,1785004200,97.676848,SXR,
0xb5a747397a7f5f905c74509a3e7ad6c61166485515599428e34930c85326dce9,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,1,7.0,1.5488,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x89230d1d7be2ea7701fb1a4141b45c7495b07ea27605e3e6de746851f6960f10,L19341507,1,0,SUCCESS,1,1784979070,1784995200,14.493066,SXR,
0xbf348da8497017778edb6b89ed66039865246fb8f031054eadee66f91174afcb,0xE4DD6165bFF7EE73D7932C3b478f7E22431e85E7,1,11.0,1.4038,,,Swiss Super League,Servette FC vs FC Basel,Servette FC,FC Basel,0xa47295ffd34722d9cce689a16aee9cf62fa9e4eae5cd8d4c855c91a69c567aa3,L19341514,1,0,SUCCESS,1,1784978989,1784995200,29.048198,SXR,
0x4d097c8f6dd2622f713832cf90c70b65b9091a41cb3bd44129e6559be94187d5,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,13.0,1.7625,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x99d36c6f0c333d1f3d55ac54fff497be585c8c39d59e110d69f922d26002ae9b,L19341507,1,0,SUCCESS,1,1784978146,1784995200,17.515777,SXR,
0x26eb52b7e12618f583653b694094ac4dc0232e6dcca905390c929e2f39a7cb30,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,46.0,1.7625,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x99d36c6f0c333d1f3d55ac54fff497be585c8c39d59e110d69f922d26002ae9b,L19341507,1,0,SUCCESS,1,1784978115,1784995200,61.178938,SXR,
0xb59e509757611097d4eac712b360fdbb97b1951211d3f053686c3b513bef11f4,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,99.0,1.7625,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x99d36c6f0c333d1f3d55ac54fff497be585c8c39d59e110d69f922d26002ae9b,L19341507,1,0,SUCCESS,1,1784978113,1784995200,130.48421,SXR,
0xea08df89ca002ac15306dc6dfd2c9a54318f6e94e49898ab6c3592f5e127180b,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,68.0,1.7612,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x99d36c6f0c333d1f3d55ac54fff497be585c8c39d59e110d69f922d26002ae9b,L19341507,1,0,SUCCESS,1,1784978113,1784995200,89.340309,SXR,
0x1a14f1ac8a7c6a7266aec31c577b01134ae8477e89736f34a45d8f299c6f7cbd,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,1,17.0,1.405,,,Swiss Super League,Servette FC vs FC Basel,Servette FC,FC Basel,0xa47295ffd34722d9cce689a16aee9cf62fa9e4eae5cd8d4c855c91a69c567aa3,L19341514,1,0,SUCCESS,1,1784977790,1784995200,42.285704,SXR,
0xca6860ca8af254549e2c7aa529ed8294c435c73e7ecd163a32fff8842a753799,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,1,55.0,1.545,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x89230d1d7be2ea7701fb1a4141b45c7495b07ea27605e3e6de746851f6960f10,L19341507,1,0,SUCCESS,1,1784976755,1784995200,101.142844,SXR,
0x0a931ccd88e34686d21972d3178ce05c35f85102204e3709e743095adfcad8d2,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,47.0,1.7138,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0x844aff1ee37992da403c0a7e2dbe2bda82c639b62e48dc60b590d4450eeef017,L19341512,1,0,SUCCESS,1,1784976174,1785004200,66.270739,SXR,
0x1b342bbcee59a129aa25d615e123ff71f3f723afc8efd7dcadb9cc26b7059d44,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,2,1.0,1.65,,,Swiss Super League,Servette FC vs FC Basel,Servette FC,FC Basel,0x267edf3c9f2bfaaa9ae8db7e8d5cddaae3a284286970687b09d5cfd44e1a93a3,L19341514,1,0,SUCCESS,1,1784976025,1784995200,3.057138,SXR,
0x5f4dc49c504059627d5a5a9527a82e01ec7ea53fc8018950345030abc08e6dbc,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35,1,7.0,1.405,,,Swiss Super League,Servette FC vs FC Basel,Servette FC,FC Basel,0xa47295ffd34722d9cce689a16aee9cf62fa9e4eae5cd8d4c855c91a69c567aa3,L19341514,1,0,SUCCESS,1,1784976024,1784995200,19.361333,SXR,
