gameDate,game,competition,bet,market,betValue,betTime,betAmount,odds,isMarketMaker,wallet
2026-06-27 03:00:00 UTC,Egypt vs Iran,FIFA World Cup ,Over 2.5,Under/Over (2.5),18.0,2026-06-25 16:47:05 UTC,18.0,1.315,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-25 20:00:00 UTC,Curaçao vs Ivory Coast,FIFA World Cup ,Over 3.0,Under/Over (3),6.0,2026-06-25 16:46:30 UTC,6.0,1.5713,Yes,0xC88F614A48f8A705d7465b03aAF62ddaca0c3754
2026-06-26 02:00:00 UTC,Turkey vs USA,FIFA World Cup ,USA,1X2,2.0,2026-06-25 16:45:27 UTC,2.0,1.5238,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-27 03:00:00 UTC,Egypt vs Iran,FIFA World Cup ,Egypt -1.5,Asian Handicap (-1.5),0.0,2026-06-25 16:45:23 UTC,0.0,1.1187,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-27 03:00:00 UTC,Egypt vs Iran,FIFA World Cup ,Over 2.5,Under/Over (2.5),1.0,2026-06-25 16:45:20 UTC,1.0,1.3137,Yes,0x740d5718a79A8559fEeE8B00922F8Cd773A81D84
2026-06-27 23:30:00 UTC,Colombia vs Portugal,FIFA World Cup ,Under 5.5,Under/Over (5.5),58.0,2026-06-25 16:45:14 UTC,58.0,1.9387,Yes,0x740d5718a79A8559fEeE8B00922F8Cd773A81D84
2026-06-28 02:00:00 UTC,Algeria vs Austria,FIFA World Cup ,Over 2.5,Under/Over (2.5),1.0,2026-06-25 16:45:10 UTC,1.0,1.305,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-28 02:00:00 UTC,Algeria vs Austria,FIFA World Cup ,Over 0.5,Under/Over (0.5),16.0,2026-06-25 16:45:07 UTC,16.0,1.81,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-28 02:00:00 UTC,Algeria vs Austria,FIFA World Cup ,Over 1.5,Under/Over (1.5),5.0,2026-06-25 16:45:03 UTC,5.0,1.595,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-28 02:00:00 UTC,Algeria vs Austria,FIFA World Cup ,Austria -1.5,Asian Handicap (1.5),0.0,2026-06-25 16:44:59 UTC,0.0,1.1187,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-25 23:00:00 UTC,Japan vs Sweden,FIFA World Cup ,Over 2.5,Under/Over (2.5),1.0,2026-06-25 16:44:57 UTC,1.0,1.5012,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-28 02:00:00 UTC,Algeria vs Austria,FIFA World Cup ,Over 2.5,Under/Over (2.5),1.0,2026-06-25 16:44:56 UTC,1.0,1.305,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-28 02:00:00 UTC,Algeria vs Austria,FIFA World Cup ,Austria -1.5,Asian Handicap (1.5),0.0,2026-06-25 16:44:53 UTC,0.0,1.1187,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-27 03:00:00 UTC,Egypt vs Iran,FIFA World Cup ,Over 1.5,Under/Over (1.5),48.0,2026-06-25 16:44:36 UTC,48.0,1.6075,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-28 02:00:00 UTC,Algeria vs Austria,FIFA World Cup ,Algeria +1.5,Asian Handicap (1.5),49.0,2026-06-25 16:41:31 UTC,49.0,1.8938,Yes,0x85488156a1675CE39D29f15418b1bf15eA79a2a6
